external_ingredient_id,external_name,external_exactness_tier,map_state,familyfoodos_food_code,mapping_confidence,nutrition_profile_promoted
ING-0183,Печень телячья/баранья/свиная,UNRESOLVED,FORM_SPLIT_CANDIDATE,,HIGH,NO
ING-0184,Печень птицы,B_COMPATIBLE_REFERENCE,UNRESOLVED,,HIGH,NO
ING-0185,Кости пищевые,UNRESOLVED,COMPOSITE_OR_PROCESS_OUTPUT,,HIGH,NO
ING-0186,Кости птицы,UNRESOLVED,COMPOSITE_OR_PROCESS_OUTPUT,,HIGH,NO
ING-0187,Гренки с сыром №1108,UNRESOLVED,COMPOSITE_OR_PROCESS_OUTPUT,,HIGH,NO
ING-0188,Гренки острые №1109,UNRESOLVED,COMPOSITE_OR_PROCESS_OUTPUT,,HIGH,NO
ING-0189,Расстегаи №1100,UNRESOLVED,COMPOSITE_OR_PROCESS_OUTPUT,,HIGH,NO
ING-0190,Капуста савойская,A_REFERENCE,FORM_SPLIT_CANDIDATE,,MEDIUM,NO
ING-0191,Капуста брюссельская,C_PROXY,FORM_SPLIT_CANDIDATE,,MEDIUM,NO
ING-0192,Горох овощной (лопатка),A_REFERENCE,NEW_FOOD_CANDIDATE,,MEDIUM,NO
ING-0193,Рыба-мелочь,UNRESOLVED,UNRESOLVED,,HIGH,NO
ING-0194,Кости рыбные,UNRESOLVED,COMPOSITE_OR_PROCESS_OUTPUT,,HIGH,NO
ING-0195,Налим,B_MULTI_SOURCE_REFERENCE,NEW_FOOD_CANDIDATE,,MEDIUM,NO
ING-0196,Клыкач,B_MULTI_SOURCE_REFERENCE,NEW_FOOD_CANDIDATE,,MEDIUM,NO
ING-0197,Хлебный квас,B_MULTI_SOURCE_REFERENCE,NEW_FOOD_CANDIDATE,,MEDIUM,NO
ING-0198,Сухари ржаные,B_MULTI_SOURCE_REFERENCE,NEW_FOOD_CANDIDATE,,MEDIUM,NO
ING-0199,Сухой хлебный квас,UNRESOLVED,COMPOSITE_OR_PROCESS_OUTPUT,,HIGH,NO
ING-0200,Мята кудрявая,A_REFERENCE,NEW_FOOD_CANDIDATE,,MEDIUM,NO
ING-0201,Горчица готовая,A_REFERENCE,NEW_FOOD_CANDIDATE,,MEDIUM,NO
ING-0202,Редис,A_REFERENCE,EXACT_EXISTING,RADISH,HIGH,NO
ING-0203,Кефир,A_REFERENCE,NEW_FOOD_CANDIDATE,,MEDIUM,NO
ING-0204,Крабы консервированные,B_MULTI_SOURCE_REFERENCE,FORM_SPLIT_CANDIDATE,,MEDIUM,NO
