external_ingredient_id,external_name,external_exactness_tier,map_state,familyfoodos_food_code,mapping_confidence,nutrition_profile_promoted
ING-0001,Бульон куриный,UNRESOLVED,COMPOSITE_OR_PROCESS_OUTPUT,,HIGH,NO
ING-0002,"Soup, stock, beef, home-prepared (proxy)",C_PROXY,COMPOSITE_OR_PROCESS_OUTPUT,,HIGH,NO
ING-0003,Бульон/вода,C_PROXY,UNRESOLVED,,HIGH,NO
ING-0004,Вареники ленивые (полуфабрикат),B_MULTI_SOURCE_REFERENCE,COMPOSITE_OR_PROCESS_OUTPUT,,HIGH,NO
ING-0005,Вермишель,A_REFERENCE,ALIAS_EXISTING,PASTA_DRY,HIGH,NO
ING-0006,Вода,B_REFERENCE,ALIAS_EXISTING,WATER,HIGH,NO
ING-0007,Вода/овощной отвар,UNRESOLVED,COMPOSITE_OR_PROCESS_OUTPUT,,HIGH,NO
ING-0008,Говядина,C_PROXY,UNRESOLVED,,HIGH,NO
ING-0009,Говядина котлетная,C_PROXY,NEW_FOOD_CANDIDATE,,MEDIUM,NO
ING-0010,Горбуша,UNRESOLVED,NEW_FOOD_CANDIDATE,,MEDIUM,NO
ING-0011,Горох лущеный,A_REFERENCE,NEW_FOOD_CANDIDATE,,MEDIUM,NO
ING-0012,Горошек зеленый консервированный,A_REFERENCE,EXACT_EXISTING,GREEN_PEAS_CANNED,HIGH,NO
ING-0013,Жир животный топленый,A_REFERENCE,NEW_FOOD_CANDIDATE,,MEDIUM,NO
ING-0014,Жир кулинарный,A_REFERENCE,NEW_FOOD_CANDIDATE,,MEDIUM,NO
ING-0015,Жир-сырец,UNRESOLVED,FORM_SPLIT_CANDIDATE,,MEDIUM,NO
ING-0016,Кабачок,A_REFERENCE,ALIAS_EXISTING,ZUCCHINI,HIGH,NO
ING-0017,Капуста белокочанная,A_REFERENCE,EXACT_EXISTING,CABBAGE_GREEN,HIGH,NO
ING-0018,Капуста цветная,A_REFERENCE,EXACT_EXISTING,CAULIFLOWER,HIGH,NO
ING-0019,Картофель,A_REFERENCE,EXACT_EXISTING,POTATO,HIGH,NO
ING-0020,Крупа гречневая ядрица,A_REFERENCE,ALIAS_EXISTING,BUCKWHEAT,HIGH,NO
ING-0021,Крупа манная,A_REFERENCE,NEW_FOOD_CANDIDATE,,MEDIUM,NO
ING-0022,Крупа перловая,A_REFERENCE,EXACT_EXISTING,BARLEY_PEARLED,HIGH,NO
ING-0023,Крупа пшенная,A_REFERENCE,FORM_SPLIT_CANDIDATE,,HIGH,NO
ING-0024,Крупа рисовая,A_REFERENCE,FORM_SPLIT_CANDIDATE,,MEDIUM,NO
ING-0025,Куры I категории,A_REFERENCE,NEW_FOOD_CANDIDATE,,MEDIUM,NO
ING-0026,Лимон,A_REFERENCE,EXACT_EXISTING,LEMON,HIGH,NO
ING-0027,Лук зеленый,A_REFERENCE,EXACT_EXISTING,GREEN_ONION,HIGH,NO
ING-0028,Лук репчатый,A_REFERENCE,ALIAS_EXISTING,ONION_YELLOW,HIGH,NO
