external_ingredient_id,external_name,external_exactness_tier,map_state,familyfoodos_food_code,mapping_confidence,nutrition_profile_promoted
ING-0092,Телятина I категории,A_REFERENCE,NEW_FOOD_CANDIDATE,,MEDIUM,NO
ING-0093,Грибы белые свежие,A_REFERENCE,NEW_FOOD_CANDIDATE,,MEDIUM,NO
ING-0094,Рис отварной №747,C_INTERNAL_VARIANT,COMPOSITE_OR_PROCESS_OUTPUT,,HIGH,NO
ING-0095,Соус паровой №844,UNRESOLVED,COMPOSITE_OR_PROCESS_OUTPUT,,HIGH,NO
ING-0096,Соус молочный густой №862,UNRESOLVED,COMPOSITE_OR_PROCESS_OUTPUT,,HIGH,NO
ING-0097,"Leavening agents, yeast, baker's, compressed",B_REFERENCE,NEW_FOOD_CANDIDATE,,HIGH,NO
ING-0098,Блинчики-полуфабрикат №1082,UNRESOLVED,COMPOSITE_OR_PROCESS_OUTPUT,,HIGH,NO
ING-0099,Фарш творожный №1135,UNRESOLVED,COMPOSITE_OR_PROCESS_OUTPUT,,HIGH,NO
ING-0100,Пюре картофельное №759,UNRESOLVED,COMPOSITE_OR_PROCESS_OUTPUT,,HIGH,NO
ING-0101,"Soup, stock, fish, home-prepared (proxy)",C_PROXY,COMPOSITE_OR_PROCESS_OUTPUT,,HIGH,NO
ING-0102,Рыбные пищевые отходы,UNRESOLVED,COMPOSITE_OR_PROCESS_OUTPUT,,HIGH,NO
ING-0103,Соус белый основной №843,UNRESOLVED,COMPOSITE_OR_PROCESS_OUTPUT,,HIGH,NO
ING-0104,Кислота лимонная,B_REFERENCE,NEW_FOOD_CANDIDATE,,MEDIUM,NO
ING-0105,"Chicken, stewing, meat only, cooked, stewed",C_PROXY,FORM_SPLIT_CANDIDATE,,HIGH,NO
ING-0106,Уксус 3%-ный,C_PROXY,NEW_FOOD_CANDIDATE,,MEDIUM,NO
ING-0107,Грибы белые сушеные,B_PARTIAL_REFERENCE,FORM_SPLIT_CANDIDATE,,MEDIUM,NO
ING-0108,Кости свинокопченостей,UNRESOLVED,COMPOSITE_OR_PROCESS_OUTPUT,,HIGH,NO
ING-0109,Говядина вареная,UNRESOLVED,FORM_SPLIT_CANDIDATE,,MEDIUM,NO
ING-0110,Окорок копчено-вареный,C_PROXY,FORM_SPLIT_CANDIDATE,,MEDIUM,NO
ING-0111,Сосиски,C_PROXY,NEW_FOOD_CANDIDATE,,MEDIUM,NO
ING-0112,Свинокопчености,C_PROXY,FORM_SPLIT_CANDIDATE,,MEDIUM,NO
ING-0113,Баранина котлетная,C_PROXY,NEW_FOOD_CANDIDATE,,MEDIUM,NO
ING-0114,Фрикадельки мясные №184,UNRESOLVED,COMPOSITE_OR_PROCESS_OUTPUT,,HIGH,NO
